title,price,location,area,bathrooms,bedrooms
ADV905*4BHK Villa for rent in Madinat Illam in a complex,750.0,"Qurum, Muscat•",300.0,4.0,4.0
ADV906**4BHK Villa in a comples in shatti qurum,1900.0,"Qurum, Muscat•",300.0,4.0,4.0
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,2310.0,"Azaiba, Muscat•",440.0,,
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,650.0,"Bosher, Muscat•",350.0,4.0,3.0
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,750.0,"Azaiba, Muscat•",439.0,5.0,4.0
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,430.0,"Muscat Hills, Muscat•",119.0,2.0,2.0
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities",1250.0,"The Wave (Almouj), Muscat•",109.0,3.0,2.0
2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,525.0,"Qurum, Muscat•",119.0,3.0,2.0
1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,400.0,"Qurum, Muscat•",89.0,2.0,1.0
54 SQM Office for Rent in Muscat Hills,297.0,"Muscat Hills, Muscat•",54.0,,
31.87 S	QM Shop in Azaiba – Commercial Use – Excellent Location,480.0,"Azaiba, Muscat•",31.87,,
BOSHER | BRAND NEW 3+1 BR TOWNHOUSES,850.0,"Bosher, Muscat•",300.0,4.0,3.0
QURUM | SPACIOUS 6 BR COMPOUND VILLA,1000.0,"Qurum, Muscat•",300.0,5.0,6.0
QURUM | 6 BR COMPOUND VILLA,650.0,"Qurum, Muscat•",300.0,6.0,6.0
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,160.0,"Al Khoud, Muscat•",16.0,,
فيلا راقية جديدة للايجار في المعبيلة  villa for rent,500.0,"Al Maabilah, Muscat•",408.0,7.0,6.0
shop for rent in seeb souq,100.0,"Al Seeb, Muscat•",25.0,,
2bhk in darsait free wifi (B1577),160.0,"Darsait, Muscat•",95.0,2.0,2.0
2bhk flat in almumtaz free wifi (B3434),220.0,"Ruwi, Muscat•",100.0,2.0,2.0
SR-HK-595 Fully furnished Townhouse for rent in Almouj .,800.0,"The Wave (Almouj), Muscat•",200.0,3.0,2.0
محلات للايجار في العامرات,280.0,"Al Amarat, Muscat•",48.0,,
MADINAT QABOOS | MODERN 3 BR APARTMENT,800.0,"Madinat As Sultan Qaboos, Muscat•",125.0,2.0,3.0
MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT,500.0,"Madinat As Sultan Qaboos, Muscat•",85.0,2.0,1.0
"Branded Residence, spacious apartment with Golf Course View",2500.0,"The Wave (Almouj), Muscat•",264.0,5.0,3.0
ADC803**145sqm  Offices for rent in Ghubra north,725.0,"Al Ghubrah, Muscat•",145.0,,
ADA602** 2 Bedrooms apartments for rent in Khuwair,350.0,"Al Khuwair, Muscat•",110.0,3.0,2.0
ADV407**5BHK brand new villa in a complex in al hail south,,"Al Hail, Muscat•",325.0,6.0,5.0
ADC701***Shop for Rent in New Commercial Building – 150 SQM,1250.0,"Bosher, Muscat•",150.0,,
Studio room near Al Mouj free wifi,150.0,"The Wave (Almouj), Muscat•",45.0,1.0,1.0
VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS,3000.0,"Qurum, Muscat•",1436.0,6.0,4.0
محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11,200.0,"Al Mawaleh, Muscat•",29.6,,
beautiful And spacious villa in Mabelah for rent,800.0,"Al Maabilah, Muscat•",400.0,12.0,9.0
LUXURY OFFICE SPACES AT AFFORDABLE PRICES NOW FOR RENT!,250.0,"Al Khuwair, Muscat•",15.0,,
All Inclusive Serviced Office Spaces for Rent - Al Khuwair Bait Eteen,150.0,"Al Khuwair, Muscat•",10.0,,
BRAND NEW FULY FIRNISHED OFFICE SPACES FOR RENT - AL KHUWAIR !!,250.0,"Al Khuwair, Muscat•",60.0,,
BUDGET FRIENDLY FULLY FURNISHED SERVICED OFFICES FOR RENT - AL KHUWAIR,100.0,"Al Khuwair, Muscat•",10.0,,
one room in souq alseeb,100.0,"Al Seeb, Muscat•",65.0,1.0,1.0
Shop for rent in seeb sooq (B291),100.0,"Al Seeb, Muscat•",25.0,,
shop in Al hail south محل  الحيل الجنوبية,180.0,"Al Hail, Muscat•",28.0,,
3bhk Luxury in wadi kabir free WiFi,250.0,"Al Wadi Al Kabir, Muscat•",95.0,2.0,2.0
2bhk luxury in wadi kabir free wifi(B2525),230.0,"Al Wadi Al Kabir, Muscat•",100.0,2.0,2.0
25Sqm Shop in almarat (B7820),80.0,"Al Amarat, Muscat•",30.0,,
لإيجار ارض المسفاه  400sqm land for rent in Al-Masfa,320.0,"Misfah, Muscat•",400.0,,
200sqm office in mabail free Wifi (B1772),400.0,"Al Maabilah, Muscat•",200.0,,
30 sqm Shop in mabila (B11356),100.0,"Al Maabilah, Muscat•",30.0,,
2bhk in mbd free fiber internet,180.0,"Ruwi, Muscat•",95.0,2.0,2.0
168 sqm commercial property in alkhoud (B572),420.0,"Al Khoud, Muscat•",168.0,,
158 SQM shop in mabil 3محل ارضي المعبيله,900.0,"Al Maabilah, Muscat•",158.0,,
Beautiful 4+1 BR Villa Available for Rent in Azaiba,630.0,"Azaiba, Muscat•",300.0,6.0,5.0
