title,price,location,area,bathrooms,bedrooms,log_price,log_area
adv905*4bhk villa for rent in madinat illam in a complex,750.0,"qurum, muscat",300.0,4.0,4.0,6.621405651764134,5.707110264748875
*adv705** 3+1 bhk villa for rent in bousher –al muna,650.0,"bosher, muscat",350.0,4.0,3.0,6.478509642208569,5.860786223465865
4 br + maid’s room spacious well-designed villa in azaiba,750.0,"azaiba, muscat",439.0,5.0,4.0,6.621405651764134,6.0867747269123065
2 br beautiful apartment with panoramic views – muscat hills,430.0,"muscat hills, muscat",119.0,2.0,2.0,6.066108090103747,4.787491742782046
2 br + 1 bedroom brand new apartment in shatti al qurum,525.0,"qurum, muscat",119.0,3.0,2.0,6.26530121273771,4.787491742782046
1 br + 1 bedroom brand new apartment in shatti al qurum,400.0,"qurum, muscat",89.0,2.0,1.0,5.993961427306569,4.499809670330265
54 sqm office for rent in muscat hills,297.0,"muscat hills, muscat",54.0,2.0,2.0,5.697093486505405,4.007333185232471
31.87 s	qm shop in azaiba – commercial use – excellent location,480.0,"azaiba, muscat",31.87,2.0,2.0,6.175867270105761,3.492560387676128
bosher | brand new 3+1 br townhouses,850.0,"bosher, muscat",300.0,4.0,3.0,6.7464121285733745,5.707110264748875
qurum | 6 br compound villa,650.0,"qurum, muscat",300.0,6.0,6.0,6.478509642208569,5.707110264748875
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,160.0,"al khoud, muscat",16.0,2.0,2.0,5.081404364984463,2.833213344056216
فيلا راقية جديدة للايجار في المعبيلة  villa for rent,500.0,"al maabilah, muscat",408.0,7.0,6.0,6.2166061010848646,6.013715156042802
shop for rent in seeb souq,100.0,"al seeb, muscat",25.0,2.0,2.0,4.61512051684126,3.258096538021482
2bhk in darsait free wifi (b1577),160.0,"darsait, muscat",95.0,2.0,2.0,5.081404364984463,4.564348191467836
2bhk flat in almumtaz free wifi (b3434),220.0,"ruwi, muscat",100.0,2.0,2.0,5.3981627015177525,4.61512051684126
sr-hk-595 fully furnished townhouse for rent in almouj .,800.0,"the wave (almouj), muscat",200.0,3.0,2.0,6.68586094706836,5.303304908059076
محلات للايجار في العامرات,280.0,"al amarat, muscat",48.0,2.0,2.0,5.638354669333745,3.8918202981106265
madinat qaboos | modern 3 br apartment,800.0,"madinat as sultan qaboos, muscat",125.0,2.0,3.0,6.68586094706836,4.836281906951478
madinat sultan qaboos | beautiful 1 br apartment,500.0,"madinat as sultan qaboos, muscat",85.0,2.0,1.0,6.2166061010848646,4.454347296253507
adc803**145sqm  offices for rent in ghubra north,725.0,"al ghubrah, muscat",145.0,2.0,2.0,6.587550014824796,4.983606621708336
ada602** 2 bedrooms apartments for rent in khuwair,350.0,"al khuwair, muscat",110.0,3.0,2.0,5.860786223465865,4.709530201312334
adv407**5bhk brand new villa in a complex in al hail south,340.0,"al hail, muscat",325.0,6.0,5.0,5.831882477283517,5.786897381366708
studio room near al mouj free wifi,150.0,"the wave (almouj), muscat",45.0,1.0,1.0,5.017279836814924,3.828641396489095
محلات للايجار في موقع مميز بالموالح 11 shop for rent in al mawaleh 11,200.0,"al mawaleh, muscat",29.6,2.0,2.0,5.303304908059076,3.4210000089583352
luxury office spaces at affordable prices now for rent!,250.0,"al khuwair, muscat",15.0,2.0,2.0,5.5254529391317835,2.772588722239781
all inclusive serviced office spaces for rent - al khuwair bait eteen,150.0,"al khuwair, muscat",10.0,2.0,2.0,5.017279836814924,2.3978952727983707
brand new fuly firnished office spaces for rent - al khuwair !!,250.0,"al khuwair, muscat",60.0,2.0,2.0,5.5254529391317835,4.110873864173311
budget friendly fully furnished serviced offices for rent - al khuwair,100.0,"al khuwair, muscat",10.0,2.0,2.0,4.61512051684126,2.3978952727983707
one room in souq alseeb,100.0,"al seeb, muscat",65.0,1.0,1.0,4.61512051684126,4.189654742026425
shop for rent in seeb sooq (b291),100.0,"al seeb, muscat",25.0,2.0,2.0,4.61512051684126,3.258096538021482
shop in al hail south محل  الحيل الجنوبية,180.0,"al hail, muscat",28.0,2.0,2.0,5.198497031265826,3.367295829986474
3bhk luxury in wadi kabir free wifi,250.0,"al wadi al kabir, muscat",95.0,2.0,2.0,5.5254529391317835,4.564348191467836
2bhk luxury in wadi kabir free wifi(b2525),230.0,"al wadi al kabir, muscat",100.0,2.0,2.0,5.442417710521793,4.61512051684126
25sqm shop in almarat (b7820),80.0,"al amarat, muscat",30.0,2.0,2.0,4.394449154672439,3.4339872044851463
لإيجار ارض المسفاه  400sqm land for rent in al-masfa,320.0,"misfah, muscat",400.0,2.0,2.0,5.771441123130016,5.993961427306569
200sqm office in mabail free wifi (b1772),400.0,"al maabilah, muscat",200.0,2.0,2.0,5.993961427306569,5.303304908059076
30 sqm shop in mabila (b11356),100.0,"al maabilah, muscat",30.0,2.0,2.0,4.61512051684126,3.4339872044851463
2bhk in mbd free fiber internet,180.0,"ruwi, muscat",95.0,2.0,2.0,5.198497031265826,4.564348191467836
168 sqm commercial property in alkhoud (b572),420.0,"al khoud, muscat",168.0,2.0,2.0,6.042632833682381,5.1298987149230735
beautiful 4+1 br villa available for rent in azaiba,630.0,"azaiba, muscat",300.0,6.0,5.0,6.447305862541213,5.707110264748875
high-end villa for rent in al-azaiba,630.0,"azaiba, muscat",350.0,5.0,4.0,6.447305862541213,5.860786223465865
azaiba | beautiful 4+1 br villa,630.0,"azaiba, muscat",300.0,5.0,4.0,6.447305862541213,5.707110264748875
"adv901**a beautiful, maintained villa 4bhk+maid for rent in qurum in a",700.0,"qurum, muscat",365.0,5.0,4.0,6.55250788703459,5.902633333401366
adw02***well-maintained 2bhk fully furnited flat in the wave – sea vie,700.0,"the wave (almouj), muscat",110.0,3.0,2.0,6.55250788703459,4.709530201312334
furnished office for rent seeb مكتب للإيجار مؤثث في سكوير الخوض السيب,140.0,"al seeb, muscat",100.0,2.0,2.0,4.948759890378168,4.61512051684126
