title,price,area,bathrooms,bedrooms,log_price,log_area,price_per_sqft,area_sqm,price_per_sqm,total_rooms,"loc_al 'awabi, al batinah","loc_al amarat, muscat","loc_al amarat, muscat, oman","loc_al awabi, muscat, oman","loc_al azaiba south, muscat, ...","loc_al buraimi, al buraimi","loc_al bustan, muscat","loc_al duqum, al wusta","loc_al ghubrah, muscat","loc_al hail north, muscat, oman","loc_al hail south, muscat, oman","loc_al hail, muscat","loc_al hail, muscat, oman","loc_al hamriyah, muscat","loc_al hamriyah, muscat, oman","loc_al kamil and al waafi, al sharqiya","loc_al khaboura, al batinah","loc_al khoud, muscat","loc_al khoud, muscat, oman","loc_al khuwair south, muscat, oman","loc_al khuwair, muscat","loc_al khuwair, muscat, oman","loc_al khuwayr south, muscat,...","loc_al maabilah, muscat","loc_al maabilah, muscat, oman","loc_al masn'a, al batinah","loc_al mawaleh north, muscat, oman","loc_al mawaleh south, muscat, oman","loc_al mawaleh, muscat","loc_al mawaleh, muscat, oman","loc_al mazyona, dhofar","loc_al mouj, muscat, oman","loc_al mudaibi, al sharqiya","loc_al qabil, al sharqiya","loc_al rusayl, muscat","loc_al rustaq, al batinah","loc_al seeb, muscat","loc_al sifah, muscat","loc_al sinainah, al buraimi","loc_al wadi al kabir, muscat","loc_al wadi al kabir, muscat, oman","loc_ansab, muscat","loc_ansab, muscat, oman","loc_azaiba, muscat","loc_azaiba, muscat, oman","loc_bahla, al dakhiliya","loc_barka, al batinah","loc_barr al jissah, muscat","loc_bawshar al muna, muscat, oman","loc_bawshar, muscat, oman","loc_bidbid, al dakhiliya","loc_bidiya, al sharqiya","loc_bosher, muscat","loc_darsait, muscat","loc_darsait, muscat, oman","loc_ghala, muscat","loc_ghala, muscat, oman","loc_ghubrah north, muscat, oman","loc_ghubrah south, muscat, oman","loc_ghubrah, muscat, oman","loc_haima, al wusta","loc_ibra, al sharqiya","loc_ibri, al dhahirah","loc_izki, al dakhiliya","loc_ja'alan bani bu ali, al sharqiya","loc_khasab, musandam","loc_liwa, al batinah","loc_madinat al ilam, muscat, oman","loc_madinat as sultan qaboos, muscat","loc_madinat as sultan qaboos, muscat, oman","loc_madinat as sultan qaboos,...","loc_mahdhah, al buraimi","loc_manah, al dakhiliya","loc_masira, al sharqiya","loc_mirbat, dhofar","loc_misfah, muscat","loc_misfah, muscat, oman","loc_muscat - other, muscat","loc_muscat bay, muscat, oman","loc_muscat hills, muscat","loc_muscat hills, muscat, oman","loc_mutrah, muscat","loc_mutrah, muscat, oman","loc_nizwa, al dakhiliya","loc_qantab, muscat","loc_qurayyat, muscat","loc_qurum 29, muscat, oman","loc_qurum, muscat","loc_qurum, muscat, oman","loc_rakhyut, dhofar","loc_ruwi, muscat","loc_ruwi, muscat, oman","loc_sadab, muscat","loc_sadah, dhofar","loc_saham, al batinah","loc_salalah, dhofar","loc_sayh al malih st, muscat,...","loc_seeb, muscat, oman","loc_shalim and the hallaniyat island, dhofar","loc_shati al qurum, muscat, o...","loc_shatti al qurum, muscat, oman","loc_shinas, al batinah","loc_sohar, al batinah","loc_sohar, al batinah, oman","loc_sultan haitham city, muscat","loc_sumail, al dakhiliya","loc_sur, al sharqiya","loc_suwaiq, al batinah","loc_taqah, dhofar","loc_the wave (almouj), muscat","loc_wadi kabir, muscat, oman","loc_wattayyah, muscat, oman","loc_yiti, muscat","loc_yunqul, al dhahirah",bedrooms_enc
adv905*4bhk villa for rent in madinat illam in a complex,2.1254758343304974,0.06339324329617524,4.0,4.0,6.621405651764134,5.707110264748875,-0.2681225143397128,27.8709,-0.2681225143397128,0.46153846153846156,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
*adv705** 3+1 bhk villa for rent in bousher –al muna,1.6426363489132336,0.12945016326035858,4.0,3.0,6.478509642208569,5.860786223465865,-0.3733253129270162,32.51605,-0.37332531292701626,0.3846153846153847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0
4 br + maid’s room spacious well-designed villa in azaiba,2.1254758343304974,0.24703148079660495,5.0,4.0,6.621405651764134,6.0867747269123065,-0.39766228025397016,40.784417,-0.39766228025397027,0.5384615384615384,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0
2 br beautiful apartment with panoramic views – muscat hills,0.5803894809952536,-0.1757328069741685,2.0,2.0,6.066108090103747,4.787491742782046,-0.08590851678654027,11.055457,-0.08590851678654031,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
2 br + 1 bedroom brand new apartment in shatti al qurum,1.0390869921416541,-0.1757328069741685,3.0,2.0,6.26530121273771,4.787491742782046,0.04473548145913065,11.055457,0.044735481459130574,0.23076923076923078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
1 br + 1 bedroom brand new apartment in shatti al qurum,0.43553763537007445,-0.2153669589526785,2.0,1.0,5.993961427306569,4.499809670330265,0.058255705996677905,8.268367,0.05825570599667795,0.07692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
54 sqm office for rent in muscat hills,-0.061787034609707164,-0.2616068029276068,2.0,2.0,5.697093486505405,4.007333185232471,0.222823879067703,5.016762,0.22282387906770307,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
31.87 s	qm shop in azaiba – commercial use – excellent location,0.8218092237038853,-0.29084359570375434,2.0,2.0,6.175867270105761,3.492560387676128,1.7875004847275786,2.96081861,1.787500484727579,0.15384615384615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
bosher | brand new 3+1 br townhouses,2.6083153197477613,0.06339324329617524,4.0,3.0,6.746412128573375,5.707110264748875,-0.21357291507222215,27.8709,-0.21357291507222217,0.3846153846153847,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0
qurum | 6 br compound villa,1.6426363489132336,0.06339324329617524,6.0,6.0,6.478509642208569,5.707110264748875,-0.3226721136072035,27.8709,-0.3226721136072035,0.7692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
