title,price,location,area,bathrooms,bedrooms,price_per_sqm
ADV905*4BHK Villa for rent in Madinat Illam in a complex,750.0,"Qurum, Muscat•",300.0,4.0,4.0,2.5
ADV906**4BHK Villa in a comples in shatti qurum,1900.0,"Qurum, Muscat•",300.0,4.0,4.0,6.333333333333333
ADC507*** Office Space in Azaiba – 440 sqm for Rent*,2310.0,"Azaiba, Muscat•",440.0,2.0,2.0,5.25
*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,650.0,"Bosher, Muscat•",350.0,4.0,3.0,1.8571428571428572
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,750.0,"Azaiba, Muscat•",439.0,5.0,4.0,1.7084282460136675
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,430.0,"Muscat Hills, Muscat•",119.0,2.0,2.0,3.6134453781512605
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities",1250.0,"The Wave (Almouj), Muscat•",109.0,3.0,2.0,11.46788990825688
2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,525.0,"Qurum, Muscat•",119.0,3.0,2.0,4.411764705882353
1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,400.0,"Qurum, Muscat•",89.0,2.0,1.0,4.49438202247191
54 SQM Office for Rent in Muscat Hills,297.0,"Muscat Hills, Muscat•",54.0,2.0,2.0,5.5
31.87 S	QM Shop in Azaiba – Commercial Use – Excellent Location,480.0,"Azaiba, Muscat•",31.87,2.0,2.0,15.061186068402886
BOSHER | BRAND NEW 3+1 BR TOWNHOUSES,850.0,"Bosher, Muscat•",300.0,4.0,3.0,2.8333333333333335
QURUM | SPACIOUS 6 BR COMPOUND VILLA,1000.0,"Qurum, Muscat•",300.0,5.0,6.0,3.3333333333333335
QURUM | 6 BR COMPOUND VILLA,650.0,"Qurum, Muscat•",300.0,6.0,6.0,2.1666666666666665
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,160.0,"Al Khoud, Muscat•",16.0,2.0,2.0,10.0
فيلا راقية جديدة للايجار في المعبيلة  villa for rent,500.0,"Al Maabilah, Muscat•",408.0,7.0,6.0,1.2254901960784315
shop for rent in seeb souq,100.0,"Al Seeb, Muscat•",25.0,2.0,2.0,4.0
2bhk in darsait free wifi (B1577),160.0,"Darsait, Muscat•",95.0,2.0,2.0,1.6842105263157894
2bhk flat in almumtaz free wifi (B3434),220.0,"Ruwi, Muscat•",100.0,2.0,2.0,2.2
SR-HK-595 Fully furnished Townhouse for rent in Almouj .,800.0,"The Wave (Almouj), Muscat•",200.0,3.0,2.0,4.0
محلات للايجار في العامرات,280.0,"Al Amarat, Muscat•",48.0,2.0,2.0,5.833333333333333
MADINAT QABOOS | MODERN 3 BR APARTMENT,800.0,"Madinat As Sultan Qaboos, Muscat•",125.0,2.0,3.0,6.4
MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT,500.0,"Madinat As Sultan Qaboos, Muscat•",85.0,2.0,1.0,5.882352941176471
"Branded Residence, spacious apartment with Golf Course View",2500.0,"The Wave (Almouj), Muscat•",264.0,5.0,3.0,9.469696969696969
ADC803**145sqm  Offices for rent in Ghubra north,725.0,"Al Ghubrah, Muscat•",145.0,2.0,2.0,5.0
