URL,Title,Location,Price,Bedrooms,Bathrooms,Area,PropertyType
https://www.mawa.om/en/rent/villa-at-al-mouj-1753341860-7732,villa at Al Mouj,"Al Mouj, Muscat, Oman","2,100 OMR",4,5,673 sqr mtr,Villa
https://www.mawa.om/en/rent/two-and-three-bedroom-apartment-close-to-the-hyatt-and-the-beach-1612880335-3403,Two and Three Bedroom Apartment close to the Hyatt and the Beach,"Shatti Al Qurum, Muscat, Oman",425 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/shop-for-rent-in-bosher-ref-84mc-1752564029-2329,Shop for Rent in Bosher| REF 84MC,"Bawshar, Muscat, Oman",325 OMR,,,46 sqr mtr,Shop
https://www.mawa.om/en/rent/750-sq-m-penthouse-office-space-in-qurum-with-terrace-1704006198-6282,750 SQ M Penthouse Office Space in Qurum  with Terrace,"Qurum, Muscat, Oman","3,600 OMR",,,,Office Space
https://www.mawa.om/en/rent/furnished-one-bedroom-apartment-muscat-bay-1720445475-8530,"Furnished one bedroom apartment, Muscat Bay","Muscat Bay, Muscat, Oman",700 OMR,1,1,,Apartment
https://www.mawa.om/en/rent/great-apartment-for-rent-in-bosher-ref-991ba-1744548738-4676,Great Apartment for Rent in Bosher| REF 991BA,"Bawshar, Muscat, Oman",300 OMR,Open space,1,,Apartment
https://www.mawa.om/en/rent/2-br-lovely-apartment-located-in-al-khuwair-1717508483-334,2 BR Lovely Apartment Located in Al Khuwair,"Al Khuwair, Muscat, Oman",350 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/4-br-maids-room-stunning-villa-in-bustan-1738488126-988,4 BR + Maid’s Room Stunning Villa in Bustan,,525 OMR,4,4,,Villa
https://www.mawa.om/en/rent/4-desk-office-space-in-business-center-in-qurum-1704006178-1431,4 Desk Office Space in Business Center in Qurum,"Qurum, Muscat, Oman",650 OMR,,,,Office Space
https://www.mawa.om/en/rent/674-sqm-furnished-office-space-in-qurum-1734325178-8766,674 SQM Furnished Office Space in Qurum,"Qurum, Muscat, Oman","4,400 OMR",,,,Office Space
https://www.mawa.om/en/rent/warehouse-with-office-facility-to-let-1637048058-2650,Warehouse With Office Facility for rent in Jifnayn,"Jafnayn, Muscat, Oman",3 OMR,,,,Warehouse
https://www.mawa.om/en/rent/office-space-available-for-rent-in-madinat-sultan-qaboos-1695630238-5518,Office Space Available for Rent in Madinat Sultan Qaboos,"Madinat As Sultan Qaboos, Muscat, Oman","1,175 OMR",,,289 sqr mtr,Office Space
https://www.mawa.om/en/rent/for-rent-villa-in-al-khuwair-1607941973-2558,For Rent Villa In Al Khuwair,"Al Khuwair, Muscat, Oman",800 OMR,5,7,400 sqr mtr,Villa
https://www.mawa.om/en/rent/office-space-for-rent-in-al-rusayl-ref-314ta-1722845853-2795,Office Space for Rent in Al Rusayl| REF 314TA,"Al Rusayl, Muscat, Oman","2,975 OMR",,,,Commercial
https://www.mawa.om/en/rent/bousher-35-almaha-street-near-papa-kanafa-1735037940-2595,Fully Furnished Apartment 2BHK In Bousher,"Bawshar, Muscat, Oman",325 OMR,2,2,110 sqr mtr,Apartment
https://www.mawa.om/en/rent/nice-apartment-for-rent-in-al-khuwair-ref-838bh-1752046189-9993,Nice Apartment for Rent in Al Khuwair | REF 838BH,"Al Khuwair, Muscat, Oman",230 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/2-br-magnificent-apartment-muscat-hills-with-nearby-amenities-1744789164-7549,2 BR Magnificent Apartment – Muscat Hills with Nearby Amenities,"Muscat Hills, Muscat, Oman",450 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/type-b01-two-bedroom-apartment-plus-study-marsa-three-al-mouj-muscat-1720444133-8789,"Type B01, Two Bedroom Apartment Plus Study,  Marsa Three, Al Mouj Muscat","Al Mouj, Muscat, Oman",650 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/320-sq-m-office-space-in-qurum-close-to-the-beach-1704006326-2016,320 SQ M Office Space In Qurum Close to the Beach,"Qurum, Muscat, Oman",Price on request,,,,Office Space
https://www.mawa.om/en/rent/hatat-complex-high-quality-office-space-al-wutayyah-1634388486-2141,"Hatat Complex - High Quality Office Space, Al Wutayyah",,520 OMR,,,,Office Space
https://www.mawa.om/en/rent/spacious-villa-for-rent-in-al-khoud-ref-92bc-1753100364-9380,Spacious Villa for Rent in Al Khoud| REF 92BC,"Al Khoud, Muscat, Oman",425 OMR,5,5,,Twin Villa
https://www.mawa.om/en/rent/5-br-maids-room-twin-fantastic-villa-in-ansab-1745323517-3617,5 BR + Maid’s Room Twin Fantastic Villa in Ansab,"Ansab, Muscat, Oman",500 OMR,5,6,,Villa
https://www.mawa.om/en/rent/1125-sqm-commercial-spaces-for-rent-msq-1717505970-8768,1125 SQM Commercial Spaces for Rent – MSQ,"Madinat As Sultan Qaboos, Muscat, Oman","7,875 OMR",,,,Commercial
https://www.mawa.om/en/rent/1bhk-apartment-for-rent-in-muscat-bay-1685591019-8410,1BHK Apartment for Rent in Muscat Bay,"Muscat Bay, Muscat, Oman",400 OMR,1,1,79.99 sqr mtr,Apartment
https://www.mawa.om/en/rent/type-eo1-exclusive-juman-one-penthouse-apartment-al-mouj-muscat-1698731222-2452,"Type EO1, exclusive Juman One penthouse apartment, Al Mouj Muscat","Al Mouj, Muscat, Oman","2,500 OMR",4,4,,Apartment
https://www.mawa.om/en/rent/2bhk-with-balcony-fully-furnished-flat-for-rent-in-gubrah-north-sea-view-1716447780-7044,2BHK with Balcony Fully Furnished Flat for Rent in Gubrah North (Sea View),"Ghubrah, Muscat, Oman",450 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/for-sale-rent-open-space-in-al-qurum-29-1606668566-3458,For Sale / Rent Open Space In Al Qurum 29,"Qurum, Muscat, Oman","2,067 OMR",Open space,,346 sqr mtr,Office Space
https://www.mawa.om/en/rent/prime-centrally-located-semi-fitted-offices-1612880244-7657,Prime Centrally Located Semi Fitted Offices,"Shatti Al Qurum, Muscat, Oman",7 OMR,,,,Office Space
https://www.mawa.om/en/rent/for-rent-studio-in-al-azaiba-1607169887-8357,For Rent Studio In Al Azaiba,"Azaiba, Muscat, Oman",170 OMR,studio,1,70 sqr mtr,Apartment
https://www.mawa.om/en/rent/for-rent-villa-in-al-hail-north-1603972883-891,For Rent Villa In Al Hail North,"Al Hail North, Muscat, Oman",600 OMR,4,3,300 sqr mtr,Villa
https://www.mawa.om/en/rent/fully-furnished-apartment-for-rent-in-al-ghubra-north-ref-287gb-1722847500-3892,Fully Furnished Apartment for rent in Al Ghubra North |REF 287GB,,650 OMR,3,3,,Apartment
https://www.mawa.om/en/rent/spacious-apartment-in-shatti-al-qurum-ref-693am-1-1722847843-7352,Spacious Apartment in Shatti Al Qurum | REF 693AM-1,"Shatti Al Qurum, Muscat, Oman",550 OMR,3,3,,Apartment
https://www.mawa.om/en/rent/elegant-twin-villa-for-rent-in-mq-ref-511yb-1722847871-2197,Elegant Twin Villa for Rent in MQ | REF 511YB,,900 OMR,5+1,5,,Villa
https://www.mawa.om/en/rent/1bhk-flat-for-rent-in-gubrah-north-close-to-beach-1685591479-9206,1BHK Flat for Rent in Gubrah North close to beach,"Ghubrah, Muscat, Oman",300 OMR,1,1,,Apartment
https://www.mawa.om/en/rent/3-br-fully-furnished-apartment-in-bausher-with-pool-gym-1730785484-7746,3 BR Fully Furnished Apartment in Bausher with Pool & Gym,"Bawshar, Muscat, Oman",950 OMR,3,2,,Apartment
https://www.mawa.om/en/rent/fully-furnished-apartment-for-rent-in-al-mouj-ref-332gm-1748176539-4202,Fully Furnished Apartment for Rent in Al Mouj | REF 332GM,"Al Mouj, Muscat, Oman","1,200 OMR",2,2,,Apartment
https://www.mawa.om/en/rent/luxury-apartment-for-rent-in-al-mouj-ref-458mb-1741675979-6446,Luxury Apartment for Rent in Al Mouj | REF 458MB,"Al Mouj, Muscat, Oman",500 OMR,1,1,,Apartment
https://www.mawa.om/en/rent/3-br-maids-room-villa-in-bowsher-1745323596-303,3 BR + Maid’s Room Villa in Bowsher,"Bawshar, Muscat, Oman",700 OMR,3,4,,Villa
https://www.mawa.om/en/rent/2-br-incredible-brand-new-marina-view-apartment-in-al-mouj-juman-2-1744722651-7198,2 BR Incredible Brand New Marina View Apartment in Al Mouj – Juman 2,"Al Mouj, Muscat, Oman","1,150 OMR",2,3,,Apartment
https://www.mawa.om/en/rent/2-br-flat-for-sale-in-al-mouj-almeria-east-1683693025-7366,2 BR Flat For Sale In Al Mouj – Almeria East,"Al Mouj, Muscat, Oman","120,000 OMR",2,2,,Apartment
https://www.mawa.om/en/rent/for-rent-flat-in-al-seeb-1607594522-9038,For Rent Flat In Al Seeb,"Seeb, Muscat, Oman",150 OMR,1,2,65 sqr mtr,Apartment
https://www.mawa.om/en/rent/brand-new-fully-furnished-offices-space-for-rent-in-bosher-ref-345tb-1722847575-1435,Brand New Fully Furnished Offices Space for Rent in Bosher | REF 345TB,"Bawshar, Muscat, Oman",350 OMR,,,,Commercial
https://www.mawa.om/en/rent/2-br-close-to-amenities-apartment-in-ghubra-1730785468-128,2 BR Close to Amenities Apartment in Ghubra,,230 OMR,2,2,,Apartment
https://www.mawa.om/en/rent/2-br-maids-room-nice-apartment-muscat-bay-with-amenities-1744721320-658,2 BR + Maid's Room Nice Apartment – Muscat Bay with Amenities,"Muscat Bay, Muscat, Oman",700 OMR,2,3,,Apartment
